School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2012-2013,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,262,64.89
2012-2013,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,242,68.18
2012-2013,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,236,65.68
2012-2013,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,251,65.74
2012-2013,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,279,76.34
2012-2013,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,281,72.6
2012-2013,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,275,68.36
2012-2013,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,251,71.31
2012-2013,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,265,72.08
2012-2013,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,272,77.57
2012-2013,39,Greene County,English:Reading,Grade 3,SOL,English Reading,235,65.11
2012-2013,39,Greene County,English:Reading,Grade 4,SOL,English Reading,230,61.74
2012-2013,39,Greene County,English:Reading,Grade 5,SOL,English Reading,231,71.86
2012-2013,39,Greene County,English:Reading,Grade 6,SOL,English Reading,218,65.14
2012-2013,39,Greene County,English:Reading,Grade 7,SOL,English Reading,225,67.56
2012-2013,39,Greene County,English:Reading,Grade 8,SOL,English Reading,237,71.31
2012-2013,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,340,70.88
2012-2013,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,314,61.78
2012-2013,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,355,73.52
2012-2013,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,350,73.43
2012-2013,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,353,74.22
2012-2013,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,318,60.69
2012-2013,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,147,68.71
2012-2013,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,152,65.13
2012-2013,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,137,78.1
2012-2013,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,153,72.55
2012-2013,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,147,77.55
2012-2013,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,152,69.08
2013-2014,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,950,72.53
2013-2014,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,948,72.68
2013-2014,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,898,76.28
2013-2014,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,940,78.09
2013-2014,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,943,79.75
2013-2014,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,985,78.27
2013-2014,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,314,73.25
2013-2014,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,287,72.82
2013-2014,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,247,71.66
2013-2014,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,265,61.89
2013-2014,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,242,73.97
2013-2014,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,224,66.52
2013-2014,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,283,66.78
2013-2014,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,280,72.86
2013-2014,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,271,75.65
2013-2014,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,275,76
2013-2014,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,254,70.47
2013-2014,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,290,66.21
2013-2014,39,Greene County,English:Reading,Grade 3,SOL,English Reading,258,51.94
2013-2014,39,Greene County,English:Reading,Grade 4,SOL,English Reading,244,70.08
2013-2014,39,Greene County,English:Reading,Grade 5,SOL,English Reading,232,69.4
2013-2014,39,Greene County,English:Reading,Grade 6,SOL,English Reading,233,58.37
2013-2014,39,Greene County,English:Reading,Grade 7,SOL,English Reading,218,71.1
2013-2014,39,Greene County,English:Reading,Grade 8,SOL,English Reading,232,58.62
2013-2014,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,354,65.82
2013-2014,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,350,67.43
2013-2014,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,327,76.76
2013-2014,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,371,74.39
2013-2014,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,353,73.37
2013-2014,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,368,69.02
2013-2014,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,130,58.46
2013-2014,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,145,67.59
2013-2014,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,152,78.29
2013-2014,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,130,79.23
2013-2014,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,156,67.95
2013-2014,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,144,75
2014-2015,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,902,72.73
2014-2015,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,994,76.36
2014-2015,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,970,75.88
2014-2015,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,927,78.32
2014-2015,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,958,81.21
2014-2015,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,948,81.12
